Name,Calories,Protein,Carbohydrates,Fat
Gallo pinto,190,6,32,4
Tortilla de maíz,60,2,12,1
Huevo entero,78,6,1,5
Claras de huevo,34,7,0,0
Pechuga de pollo,165,31,0,4
Filete de salmón,208,22,0,13
Atún en agua,120,26,0,1
Carne molida magra,170,26,0,7
Bistec de res,210,28,0,10
Cerdo magro,180,27,0,8
Arroz blanco cocido,130,2.5,28,0.3
Arroz integral cocido,111,2.6,23,0.9
Frijoles negros cocidos,132,9,24,0.5
Lentejas cocidas,116,9,20,0.4
Garbanzos cocidos,164,9,27,2.6
Papa cocida,87,2,20,0.1
Camote cocido,90,2,21,0.2
Yuca cocida,160,1.5,38,0.3
Plátano maduro,122,1.3,32,0.3
Banano,105,1.3,27,0.4
Manzana,95,0.5,25,0.3
Piña,82,0.9,22,0.2
Papaya,55,0.9,14,0.2
Mango,99,1.4,25,0.6
Aguacate,160,2,9,15
Tomate,22,1,5,0.2
Lechuga,10,1,2,0.1
Pepino,16,0.7,4,0.1
Zanahoria,41,0.9,10,0.2
Brócoli,55,3.7,11,0.6
Espinaca,23,2.9,3.6,0.4
Queso fresco,98,11,3,4
Queso mozzarella,85,6,1,6
Yogur natural,61,3.5,4.7,3.3
Yogur griego,100,17,6,0
Leche descremada,83,8,12,0.2
Avena,150,5,27,3
Pan integral,80,4,14,1.2
Pasta cocida,158,5.8,31,0.9
Sardinas,191,23,0,11
Tilapia,128,26,0,3
Tortilla integral,110,4,19,2.5
Chayote,25,1,6,0.2
Ayote sazón,49,1.8,12,0.2
Coliflor,25,2,5,0.3
Palmito,36,4,7,0.5
Maní,170,7,6,14
Almendras,164,6,6,14
Semillas de chía,138,4.7,12,8.7
Aceite de oliva,119,0,0,13.5
Pinto con huevo,260,12,33,9
Casado con pollo,520,35,58,15
Ensalada verde,45,2,7,2
Batido de proteína,130,24,4,2
Tostadas integrales,120,5,22,2
