UserName,MenuDate,Breakfast,MorningSnack,Lunch,AfternoonSnack,Dinner
Nat,2026-03-18,Pinto con huevo x1 | Yogur griego x1 | Papaya x1,Banano x1 | Almendras x1 | Yogur griego x1,Casado con pollo x1 | Aguacate x1 | Arroz integral cocido x1,Batido de proteína x1 | Manzana x1,Filete de salmón x1 | Arroz integral cocido x3 | Brócoli x1
Nat,2026-03-19,Avena x1 | Banano x1 | Leche descremada x1,Papaya x1 | Semillas de chía x1 | Yogur natural x1,Pechuga de pollo x1 | Arroz blanco cocido x3 | Frijoles negros cocidos x1 | Tomate x1,Yogur griego x1 | Mango x1,Tilapia x1 | Papa cocida x3 | Ensalada verde x1 | Aguacate x1
Nat,2026-03-20,Gallo pinto x1 | Huevo entero x2 | Piña x1,Manzana x1 | Almendras x1,Bistec de res x1 | Arroz integral cocido x3 | Brócoli x1,Batido de proteína x1 | Pan integral x2,Pechuga de pollo x1 | Camote cocido x3 | Ensalada verde x1
Nat,2026-03-21,Tostadas integrales x1 | Aguacate x1 | Huevo entero x2,Banano x1 | Yogur natural x1,Casado con pollo x1 | Arroz blanco cocido x1,Yogur griego x1 | Papaya x1,Atún en agua x1 | Papa cocida x3 | Brócoli x1 | Aceite de oliva x1
Nat,2026-03-22,Avena x1 | Mango x1 | Leche descremada x1,Manzana x1 | Queso fresco x1 | Pan integral x2,Filete de salmón x1 | Arroz blanco cocido x3 | Ensalada verde x1,Batido de proteína x1 | Banano x1,Carne molida magra x1 | Pasta cocida x2 | Tomate x1
Nat,2026-03-23,Pinto con huevo x1 | Piña x1,Yogur griego x1 | Semillas de chía x1 | Banano x1,Pechuga de pollo x1 | Arroz integral cocido x2 | Frijoles negros cocidos x1 | Aguacate x1,Papaya x1 | Almendras x1,Tilapia x1 | Camote cocido x2 | Brócoli x1 | Pan integral x2
Nat,2026-03-24,Gallo pinto x1 | Huevo entero x2 | Papaya x1,Banano x1 | Yogur natural x1 | Pan integral x2 | Almendras x1,Pechuga de pollo x1 | Arroz blanco cocido x3 | Frijoles negros cocidos x1,Yogur natural x1 | Almendras x1,Filete de salmón x1 | Papa cocida x3 | Brócoli x1
Nat,2026-03-25,Avena x1 | Banano x1 | Yogur griego x1 | Pan integral x2,Manzana x1 | Queso fresco x1,Casado con pollo x1 | Arroz blanco cocido x1,Batido de proteína x1 | Banano x1 | Almendras x1,Pechuga de pollo x1 | Arroz integral cocido x3 | Ensalada verde x1
Nat,2026-03-26,Tostadas integrales x1 | Aguacate x1 | Huevo entero x2,Papaya x1 | Yogur natural x1 | Almendras x1,Bistec de res x1 | Arroz blanco cocido x3 | Brócoli x1,Batido de proteína x1 | Manzana x1,Tilapia x1 | Camote cocido x3 | Ensalada verde x1
Nat,2026-03-27,Pinto con huevo x1 | Piña x1 | Yogur griego x1,Banano x1 | Almendras x1,Filete de salmón x1 | Arroz integral cocido x3 | Frijoles negros cocidos x1,Yogur natural x1 | Mango x1 | Yogur griego x1,Pechuga de pollo x1 | Papa cocida x3 | Brócoli x1 | Pan integral x2
CarlosT,2026-03-22,Gallo pinto x1 | Huevo entero x2 | Papaya x1,Manzana x1 | Almendras x1,Bistec de res x1 | Arroz blanco cocido x2 | Brócoli x1,Banano x1 | Yogur natural x1,Atún en agua x1 | Papa cocida x2 | Aguacate x1
CarlosT,2026-03-23,Avena x1 | Banano x1 | Yogur griego x1,Manzana x1 | Almendras x1,Carne molida magra x1 | Pasta cocida x2 | Zanahoria x1,Manzana x1 | Almendras x1,Carne molida magra x1 | Tortilla integral x2 | Lechuga x1
CarlosT,2026-03-24,Pan integral x2 | Queso fresco x1 | Tomate x1,Manzana x1 | Almendras x1,Casado con pollo x1 | Ensalada verde x1,Manzana x1 | Almendras x1,Atún en agua x1 | Papa cocida x2 | Aguacate x1
CarlosT,2026-03-25,Avena x1 | Banano x1 | Yogur griego x1,Batido de proteína x1,Carne molida magra x1 | Pasta cocida x2 | Zanahoria x1,Manzana x1 | Almendras x1,Carne molida magra x1 | Tortilla integral x2 | Lechuga x1
DiegoR,2026-03-22,Avena x1 | Banano x1 | Yogur griego x1,Batido de proteína x1,Filete de salmón x1 | Papa cocida x2 | Ensalada verde x1,Banano x1 | Yogur natural x1,Sardinas x1 | Yuca cocida x1 | Pepino x1
DiegoR,2026-03-23,Tostadas integrales x1 | Aguacate x1 | Huevo entero x2,Yogur griego x1 | Mango x1,Casado con pollo x1 | Ensalada verde x1,Banano x1 | Yogur natural x1,Sardinas x1 | Yuca cocida x1 | Pepino x1
DiegoR,2026-03-24,Pinto con huevo x1 | Piña x1,Yogur griego x1 | Mango x1,Pechuga de pollo x1 | Arroz integral cocido x2 | Frijoles negros cocidos x1 | Tomate x1,Banano x1 | Yogur natural x1,Pechuga de pollo x1 | Camote cocido x2 | Ensalada verde x1
DiegoR,2026-03-25,Gallo pinto x1 | Huevo entero x2 | Papaya x1,Manzana x1 | Almendras x1,Filete de salmón x1 | Papa cocida x2 | Ensalada verde x1,Manzana x1 | Almendras x1,Pechuga de pollo x1 | Camote cocido x2 | Ensalada verde x1
SantiagoV,2026-03-22,Pan integral x2 | Queso fresco x1 | Tomate x1,Papaya x1 | Semillas de chía x1,Lentejas cocidas x2 | Arroz integral cocido x2 | Ensalada verde x1,Queso fresco x1 | Piña x1,Yogur griego x1 | Avena x1 | Banano x1
SantiagoV,2026-03-23,Gallo pinto x1 | Huevo entero x2 | Papaya x1,Queso fresco x1 | Piña x1,Lentejas cocidas x2 | Arroz integral cocido x2 | Ensalada verde x1,Papaya x1 | Semillas de chía x1,Yogur griego x1 | Avena x1 | Banano x1
SantiagoV,2026-03-24,Pan integral x2 | Queso fresco x1 | Tomate x1,Banano x1 | Yogur natural x1,Lentejas cocidas x2 | Arroz integral cocido x2 | Ensalada verde x1,Manzana x1 | Almendras x1,Garbanzos cocidos x1 | Tortilla integral x2 | Pepino x1
SantiagoV,2026-03-25,Pan integral x2 | Queso fresco x1 | Tomate x1,Manzana x1 | Almendras x1,Garbanzos cocidos x2 | Pasta cocida x1 | Tomate x1,Manzana x1 | Almendras x1,Huevo entero x3 | Arroz integral cocido x1 | Lechuga x1
CarmenM,2026-03-22,Pan integral x2 | Queso fresco x1 | Tomate x1,Queso fresco x1 | Piña x1,Frijoles negros cocidos x2 | Arroz blanco cocido x2 | Aguacate x1,Banano x1 | Yogur natural x1,Frijoles negros cocidos x1 | Yuca cocida x1 | Tomate x1
CarmenM,2026-03-23,Pan integral x2 | Queso fresco x1 | Tomate x1,Banano x1 | Yogur natural x1,Frijoles negros cocidos x2 | Arroz blanco cocido x2 | Aguacate x1,Manzana x1 | Almendras x1,Yogur griego x1 | Avena x1 | Banano x1
CarmenM,2026-03-24,Avena x1 | Banano x1 | Yogur griego x1,Banano x1 | Yogur natural x1,Garbanzos cocidos x2 | Pasta cocida x1 | Tomate x1,Queso fresco x1 | Piña x1,Huevo entero x3 | Arroz integral cocido x1 | Lechuga x1
CarmenM,2026-03-25,Pan integral x2 | Queso fresco x1 | Tomate x1,Banano x1 | Yogur natural x1,Frijoles negros cocidos x2 | Arroz blanco cocido x2 | Aguacate x1,Manzana x1 | Almendras x1,Garbanzos cocidos x1 | Tortilla integral x2 | Pepino x1
AndreaC,2026-03-22,Gallo pinto x1 | Huevo entero x2 | Papaya x1,Yogur griego x1 | Mango x1,Filete de salmón x1 | Papa cocida x2 | Ensalada verde x1,Yogur griego x1 | Mango x1,Tilapia x1 | Arroz integral cocido x2 | Brócoli x1
AndreaC,2026-03-23,Avena x1 | Banano x1 | Yogur griego x1,Batido de proteína x1,Bistec de res x1 | Arroz blanco cocido x2 | Brócoli x1,Banano x1 | Yogur natural x1,Sardinas x1 | Yuca cocida x1 | Pepino x1
AndreaC,2026-03-24,Pan integral x2 | Queso fresco x1 | Tomate x1,Papaya x1 | Semillas de chía x1,Pechuga de pollo x1 | Arroz integral cocido x2 | Frijoles negros cocidos x1 | Tomate x1,Yogur griego x1 | Mango x1,Atún en agua x1 | Papa cocida x2 | Aguacate x1
AndreaC,2026-03-25,Avena x1 | Banano x1 | Yogur griego x1,Batido de proteína x1,Carne molida magra x1 | Pasta cocida x2 | Zanahoria x1,Yogur griego x1 | Mango x1,Carne molida magra x1 | Tortilla integral x2 | Lechuga x1
LuisA,2026-03-22,Pan integral x2 | Queso fresco x1 | Tomate x1,Batido de proteína x1,Filete de salmón x1 | Papa cocida x2 | Ensalada verde x1,Yogur griego x1 | Mango x1,Atún en agua x1 | Papa cocida x2 | Aguacate x1
LuisA,2026-03-23,Avena x1 | Banano x1 | Yogur griego x1,Batido de proteína x1,Filete de salmón x1 | Papa cocida x2 | Ensalada verde x1,Manzana x1 | Almendras x1,Tilapia x1 | Arroz integral cocido x2 | Brócoli x1
LuisA,2026-03-24,Gallo pinto x1 | Huevo entero x2 | Papaya x1,Banano x1 | Yogur natural x1,Pechuga de pollo x1 | Arroz integral cocido x2 | Frijoles negros cocidos x1 | Tomate x1,Papaya x1 | Semillas de chía x1,Carne molida magra x1 | Tortilla integral x2 | Lechuga x1
LuisA,2026-03-25,Gallo pinto x1 | Huevo entero x2 | Papaya x1,Papaya x1 | Semillas de chía x1,Filete de salmón x1 | Papa cocida x2 | Ensalada verde x1,Batido de proteína x1,Sardinas x1 | Yuca cocida x1 | Pepino x1
ValeriaR,2026-03-22,Huevo entero x2 | Queso mozzarella x1 | Tomate x1,Almendras x1,Filete de salmón x1 | Aguacate x1 | Ensalada verde x1,Yogur griego x1,Sardinas x1 | Ensalada verde x1 | Aguacate x1
ValeriaR,2026-03-23,Huevo entero x3 | Aguacate x1 | Queso fresco x1,Yogur griego x1,Bistec de res x1 | Lechuga x1 | Tomate x1 | Aceite de oliva x1,Queso fresco x1 | Pepino x1,Pechuga de pollo x1 | Espinaca x1 | Aceite de oliva x1
ValeriaR,2026-03-24,Huevo entero x3 | Aguacate x1 | Queso fresco x1,Yogur griego x1,Pechuga de pollo x1 | Brócoli x1 | Aceite de oliva x1,Almendras x1,Sardinas x1 | Ensalada verde x1 | Aguacate x1
ValeriaR,2026-03-25,Yogur griego x1 | Almendras x1 | Semillas de chía x1,Queso fresco x1 | Pepino x1,Tilapia x1 | Coliflor x1 | Aguacate x1,Queso fresco x1 | Pepino x1,Atún en agua x1 | Aguacate x1 | Pepino x1
FernandaS,2026-03-22,Yogur natural x1 | Mango x1 | Semillas de chía x1,Papaya x1 | Semillas de chía x1,Queso fresco x2 | Papa cocida x2 | Brócoli x1,Manzana x1 | Almendras x1,Lentejas cocidas x1 | Camote cocido x2 | Brócoli x1
FernandaS,2026-03-23,Pan integral x2 | Queso fresco x1 | Tomate x1,Papaya x1 | Semillas de chía x1,Garbanzos cocidos x2 | Pasta cocida x1 | Tomate x1,Manzana x1 | Almendras x1,Garbanzos cocidos x1 | Tortilla integral x2 | Pepino x1
FernandaS,2026-03-24,Yogur natural x1 | Mango x1 | Semillas de chía x1,Manzana x1 | Almendras x1,Lentejas cocidas x2 | Arroz integral cocido x2 | Ensalada verde x1,Queso fresco x1 | Piña x1,Lentejas cocidas x1 | Camote cocido x2 | Brócoli x1
FernandaS,2026-03-25,Yogur natural x1 | Mango x1 | Semillas de chía x1,Banano x1 | Yogur natural x1,Garbanzos cocidos x2 | Pasta cocida x1 | Tomate x1,Queso fresco x1 | Piña x1,Yogur griego x1 | Avena x1 | Banano x1
JorgeP,2026-03-22,Avena x1 | Banano x1 | Yogur griego x1,Yogur griego x1 | Mango x1,Carne molida magra x1 | Pasta cocida x2 | Zanahoria x1,Batido de proteína x1,Sardinas x1 | Yuca cocida x1 | Pepino x1
JorgeP,2026-03-23,Avena x1 | Banano x1 | Yogur griego x1,Batido de proteína x1,Pechuga de pollo x1 | Arroz integral cocido x2 | Frijoles negros cocidos x1 | Tomate x1,Yogur griego x1 | Mango x1,Sardinas x1 | Yuca cocida x1 | Pepino x1
JorgeP,2026-03-24,Pinto con huevo x1 | Piña x1,Papaya x1 | Semillas de chía x1,Carne molida magra x1 | Pasta cocida x2 | Zanahoria x1,Papaya x1 | Semillas de chía x1,Tilapia x1 | Arroz integral cocido x2 | Brócoli x1
JorgeP,2026-03-25,Avena x1 | Banano x1 | Yogur griego x1,Banano x1 | Yogur natural x1,Casado con pollo x1 | Ensalada verde x1,Yogur griego x1 | Mango x1,Tilapia x1 | Arroz integral cocido x2 | Brócoli x1
MelissaQ,2026-03-22,Tostadas integrales x1 | Aguacate x1 | Huevo entero x2,Batido de proteína x1,Pechuga de pollo x1 | Arroz integral cocido x2 | Frijoles negros cocidos x1 | Tomate x1,Batido de proteína x1,Atún en agua x1 | Papa cocida x2 | Aguacate x1
MelissaQ,2026-03-23,Gallo pinto x1 | Huevo entero x2 | Papaya x1,Manzana x1 | Almendras x1,Casado con pollo x1 | Ensalada verde x1,Banano x1 | Yogur natural x1,Tilapia x1 | Arroz integral cocido x2 | Brócoli x1
MelissaQ,2026-03-24,Gallo pinto x1 | Huevo entero x2 | Papaya x1,Yogur griego x1 | Mango x1,Casado con pollo x1 | Ensalada verde x1,Batido de proteína x1,Atún en agua x1 | Papa cocida x2 | Aguacate x1
MelissaQ,2026-03-25,Pinto con huevo x1 | Piña x1,Papaya x1 | Semillas de chía x1,Pechuga de pollo x1 | Arroz integral cocido x2 | Frijoles negros cocidos x1 | Tomate x1,Batido de proteína x1,Atún en agua x1 | Papa cocida x2 | Aguacate x1
DanielM,2026-03-22,Tostadas integrales x1 | Aguacate x1 | Huevo entero x2,Batido de proteína x1,Filete de salmón x1 | Papa cocida x2 | Ensalada verde x1,Banano x1 | Yogur natural x1,Sardinas x1 | Yuca cocida x1 | Pepino x1
DanielM,2026-03-23,Pan integral x2 | Queso fresco x1 | Tomate x1,Banano x1 | Yogur natural x1,Casado con pollo x1 | Ensalada verde x1,Manzana x1 | Almendras x1,Sardinas x1 | Yuca cocida x1 | Pepino x1
DanielM,2026-03-24,Pinto con huevo x1 | Piña x1,Papaya x1 | Semillas de chía x1,Filete de salmón x1 | Papa cocida x2 | Ensalada verde x1,Papaya x1 | Semillas de chía x1,Tilapia x1 | Arroz integral cocido x2 | Brócoli x1
DanielM,2026-03-25,Gallo pinto x1 | Huevo entero x2 | Papaya x1,Manzana x1 | Almendras x1,Filete de salmón x1 | Papa cocida x2 | Ensalada verde x1,Yogur griego x1 | Mango x1,Tilapia x1 | Arroz integral cocido x2 | Brócoli x1
PaolaG,2026-03-22,Avena x1 | Banano x1 | Yogur griego x1,Banano x1 | Yogur natural x1,Pechuga de pollo x1 | Arroz integral cocido x2 | Frijoles negros cocidos x1 | Tomate x1,Batido de proteína x1,Sardinas x1 | Yuca cocida x1 | Pepino x1
PaolaG,2026-03-23,Avena x1 | Banano x1 | Yogur griego x1,Papaya x1 | Semillas de chía x1,Pechuga de pollo x1 | Arroz integral cocido x2 | Frijoles negros cocidos x1 | Tomate x1,Yogur griego x1 | Mango x1,Sardinas x1 | Yuca cocida x1 | Pepino x1
PaolaG,2026-03-24,Avena x1 | Banano x1 | Yogur griego x1,Manzana x1 | Almendras x1,Filete de salmón x1 | Papa cocida x2 | Ensalada verde x1,Batido de proteína x1,Tilapia x1 | Arroz integral cocido x2 | Brócoli x1
PaolaG,2026-03-25,Gallo pinto x1 | Huevo entero x2 | Papaya x1,Batido de proteína x1,Casado con pollo x1 | Ensalada verde x1,Manzana x1 | Almendras x1,Atún en agua x1 | Papa cocida x2 | Aguacate x1
RicardoO,2026-03-22,Avena x1 | Banano x1 | Yogur griego x1,Papaya x1 | Semillas de chía x1,Filete de salmón x1 | Papa cocida x2 | Ensalada verde x1,Papaya x1 | Semillas de chía x1,Atún en agua x1 | Papa cocida x2 | Aguacate x1
RicardoO,2026-03-23,Pan integral x2 | Queso fresco x1 | Tomate x1,Manzana x1 | Almendras x1,Pechuga de pollo x1 | Arroz integral cocido x2 | Frijoles negros cocidos x1 | Tomate x1,Papaya x1 | Semillas de chía x1,Tilapia x1 | Arroz integral cocido x2 | Brócoli x1
